,Date,Close,High,Low,Open,Volume,50_MA,200_MA,RSI,Bollinger_Upper,Bollinger_Lower,MACD,MACD_Signal
2,2015-01-02,24.320430755615234,24.789799848077692,23.87997951870223,24.7786766820896,212818400,,,,,,0.0,0.0
3,2015-01-05,23.635284423828125,24.169164129068307,23.4484274604303,24.08908208842444,257142000,,,,,,-0.05465554783486937,-0.010931109566973874
4,2015-01-06,23.637514114379883,23.89777994984248,23.274919886548112,23.699799781277893,263188400,,,,,,-0.09667612369754863,-0.02808011239308883
5,2015-01-07,23.968961715698242,24.069063429151587,23.735388788097783,23.846613668449052,160423600,,,,,,-0.10205624059365448,-0.04287533803320196
6,2015-01-08,24.889904022216797,24.947741436209547,24.180288730141065,24.298188530976255,237458000,,,,,,-0.03164291467210134,-0.04062885336098184
7,2015-01-09,24.916589736938477,25.192426871631575,24.516179624354614,25.063405646781618,214798000,,,,,,0.02601359900118183,-0.027300362888549107
8,2015-01-12,24.302635192871094,25.05451473706078,24.202533484211735,25.047841516104413,198603200,,,,,,0.021913199087396862,-0.017457650493359914
9,2015-01-13,24.51841163635254,25.092332396793072,24.227003007895863,24.787575629313356,268367600,,,,,,0.035663847648194746,-0.006833350865048982
10,2015-01-14,24.424983978271484,24.57847315641415,24.135798615535922,24.255921687880374,195826400,,,,,,0.038577803595082116,0.0022488800269772373
11,2015-01-15,23.7620792388916,24.48281586305077,23.72648816588898,24.469469422819376,240056000,,,,,,-0.012460105326919546,-0.0006929170438021194
12,2015-01-16,23.57744789123535,23.931143866715107,23.401712389817426,23.80879582865299,314053200,,,,,,-0.06703350209791026,-0.013961034054623747
13,2015-01-20,24.18473243713379,24.24034486393104,23.690893815629142,23.988975608627253,199599600,,,,,,-0.06058217109641362,-0.023285261462981724
14,2015-01-21,24.369367599487305,24.705265456038767,24.08463053117008,24.235896409243704,194303600,,,,,,-0.04010858347334789,-0.02664992586505496
15,2015-01-22,25.003353118896484,25.018924534057916,24.407187700040755,24.52731077292478,215185600,,,56.61355352898454,,,0.02696339793318714,-0.01592726110540654
16,2015-01-23,25.132375717163086,25.303661293012837,24.80982253293594,24.981109805942747,185859200,,,57.67133009030945,,,0.08949779692614612,0.005157750500903994
17,2015-01-26,25.15906524658203,25.439352394096968,25.09233134289731,25.30143294436429,222460000,,,66.44266984995987,,,0.13960114552753922,0.03204642950623104
18,2015-01-27,24.278167724609375,25.021150837785946,24.253698114174526,25.007802697539717,382274800,,,55.81114350221884,,,0.10699398218861944,0.047035940042708724
19,2015-01-28,25.650676727294922,26.27576159595501,25.650676727294922,26.166760010959198,585908400,,,62.830963365301244,,,0.1897156523545398,0.07557188250507495
20,2015-01-29,26.44927978515625,26.51379042648761,25.706296620475385,25.875358932338358,337745600,,,62.12388409407717,,,0.31607030279991477,0.1236715665640429
21,2015-01-30,26.062213897705078,26.693970382113093,25.99325332015124,26.33805111644964,334982000,,,58.43438951897171,26.210718011283383,23.01362948474933,0.3805871199299595,0.17505467723722626
22,2015-02-02,26.389211654663086,26.509334716144085,25.821965844352427,26.260192097211768,250956400,,,66.03965462385582,26.49246037967627,22.938765206261227,0.45288259977573375,0.23062026174492778
23,2015-02-03,26.39366340637207,26.491540143156218,26.16231546070213,26.360295604150622,207662800,,,64.8992544098927,26.703991237848616,23.003072246343276,0.5047184277140175,0.2854398949387458
24,2015-02-04,26.596097946166992,26.80742627764969,26.318035691971847,26.360301697699846,280598800,,,66.95622977276378,26.914580669169432,23.08834119820117,0.5557273909232165,0.33949739413563995
25,2015-02-05,26.785924911499023,26.850690149029983,26.631828253102775,26.803789832587974,168984800,,,75.50031815763246,27.14791291653374,23.13670527041694,0.6045014944791518,0.39249821420434233
26,2015-02-06,26.560359954833984,26.855152412118425,26.45316192316014,26.80378629814129,174826400,,,74.98264367570047,27.3241650920763,23.1274986881361,0.617832131839112,0.4375649977312963
27,2015-02-09,26.73678970336914,26.763587934082143,26.44869679621969,26.475496730787643,155559200,,,73.03669203203343,27.51425505582074,23.11942872103473,0.6353097093479896,0.477113940054635
28,2015-02-10,27.250442504882812,27.27947619347403,26.83505459157774,26.83728664158094,248034000,,,74.54848564531326,27.768081879480597,23.160382628576045,0.6827381236497914,0.5182387767736663
29,2015-02-11,27.889156341552734,27.89808965202265,27.357637147503237,27.417934863356745,294247200,,,74.56897699630083,28.13031645024454,23.13522252833212,0.7630681773966685,0.5672046568982667
30,2015-02-12,28.242023468017578,28.46981869820003,28.043261932109434,28.15269203860986,297898000,,,75.50269378734832,28.508873186443882,23.138369741107386,0.8454578401084092,0.6228552935402952
